zipcode,town,violentcrime_quintile,education_percentile_quintile,education_percentile,max_rent_0br,max_rent_1br,max_rent_2br,max_rent_3br,max_rent_4br,max_rent_5br,max_rent_6br,town_website_description,town_link,wikipedia,wikipedia_link,street,school,town_square,open_space_or_landmark
2140,CAMBRIDGE,4,3,49,1657,1837,2228,2798,2999,3451,3977,"Cambridge is situated directly north of Boston, across the Charles River. Cambridge is home to a culturally diverse population of over 100,000. College students from around the world study at Harvard, Radcliffe, the Massachusetts Institute of Technology, and Lesley University. The heavy industries of the nineteenth and early twentieth centuries have been replaced by technology-based enterprises, including software and biotechnology research. Public parkland includes the esplanade along the Charles River, which mirrors its Boston counterpart; Cambridge Common, a busy and historic public park adjacent to Harvard's campus; and the Alewife Brook Reservation and Fresh Pond in western Cambridge.",https://www.cambridgema.gov/,,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",https://en.wikipedia.org/wiki/Inman_Square#/media/File:Cambridge_MA_Inman_Square.jpg,"https://en.wikipedia.org/wiki/Cambridge_Public_School_District#/media/File:Cambridge_Rindge_and_Latin_School,_Cambridge_MA.jpg","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Harvard_square_2009j.JPG","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Alewife_Brook_Reservation.jpg"
2141,CAMBRIDGE,4,3,49,1737,1927,2338,2938,3149,3623,4175,"Cambridge is situated directly north of Boston, across the Charles River. Cambridge is home to a culturally diverse population of over 100,000. College students from around the world study at Harvard, Radcliffe, the Massachusetts Institute of Technology, and Lesley University. The heavy industries of the nineteenth and early twentieth centuries have been replaced by technology-based enterprises, including software and biotechnology research. Public parkland includes the esplanade along the Charles River, which mirrors its Boston counterpart; Cambridge Common, a busy and historic public park adjacent to Harvard's campus; and the Alewife Brook Reservation and Fresh Pond in western Cambridge.",https://www.cambridgema.gov/,,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",https://en.wikipedia.org/wiki/Inman_Square#/media/File:Cambridge_MA_Inman_Square.jpg,"https://en.wikipedia.org/wiki/Cambridge_Public_School_District#/media/File:Cambridge_Rindge_and_Latin_School,_Cambridge_MA.jpg","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Harvard_square_2009j.JPG","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Alewife_Brook_Reservation.jpg"
2142,CAMBRIDGE,4,3,49,2297,2547,3098,3888,4179,4808,5537,"Cambridge is situated directly north of Boston, across the Charles River. Cambridge is home to a culturally diverse population of over 100,000. College students from around the world study at Harvard, Radcliffe, the Massachusetts Institute of Technology, and Lesley University. The heavy industries of the nineteenth and early twentieth centuries have been replaced by technology-based enterprises, including software and biotechnology research. Public parkland includes the esplanade along the Charles River, which mirrors its Boston counterpart; Cambridge Common, a busy and historic public park adjacent to Harvard's campus; and the Alewife Brook Reservation and Fresh Pond in western Cambridge.",https://www.cambridgema.gov/,,"https://en.wikipedia.org/wiki/Cambridge,_Massachusetts",https://en.wikipedia.org/wiki/Inman_Square#/media/File:Cambridge_MA_Inman_Square.jpg,"https://en.wikipedia.org/wiki/Cambridge_Public_School_District#/media/File:Cambridge_Rindge_and_Latin_School,_Cambridge_MA.jpg","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Harvard_square_2009j.JPG","https://en.wikipedia.org/wiki/Cambridge,_Massachusetts#/media/File:Alewife_Brook_Reservation.jpg"
2108,BOSTON,5,3,54,2087,2307,2808,3528,3789,4359,5021,"does at the federal level. Federal-style rowhouses, narrow gaslit streets and brick sidewalks adorn the neighborhood, which is generally regarded as one of the more desirable and expensive in Boston. According to the 2010 U.S. Census, the population of Boston's Beacon Hill neighborhood is 9,023.",https://www.boston.gov/neighborhood/beacon-hill,,"https://en.wikipedia.org/wiki/Beacon_Hill,_Boston",https://commons.wikimedia.org/wiki/File:ISH_WC_Boston4.jpg,,"https://en.wikipedia.org/wiki/Beacon_Hill,_Boston#/media/File:Beacon_Hill,_Boston.jpg","https://en.wikipedia.org/wiki/Beacon_Hill,_Boston#/media/File:Park_Street_Boston.jpg"
2125,DORCHESTER,4,5,30,1357,1497,1818,2288,2449,2818,3249,"Dorchester is the City's largest and most diverse neighborhood. Dorchester's demographic diversity has been a well-sustained tradition of the neighborhood, and long-time residents blend with more recent arrivals from Ireland, Vietnam, and Cape Verde. Malibu and Tenean Beaches offer summertime recreation and numerous parks are scattered through the area. Dorchester Avenue, the neighborhood's main artery, is activated by immigrant-owned businesses and connects a number of Dorchester's vibrant business districts. University of Massachussets Boston is a major tenant of the area.",http://www.bostonplans.org/neighborhoods/dorchester/at-a-glance,,"https://en.wikipedia.org/wiki/Dorchester,_Boston",https://en.wikipedia.org/wiki/Walton_and_Roslin_Halls#/media/File:BostonMA_WaltonAndRoslinHalls.jpg,,"https://en.wikipedia.org/wiki/Dorchester,_Boston#/media/File:BostonMA_UphamsCornerMarket.jpg","https://en.wikipedia.org/wiki/Dorchester,_Boston#/media/File:Lower_Mills_MA.jpg"
2124,DORCHESTER CENTER,4,4,40,1437,1587,1928,2428,2599,2991,3448,"Dorchester is the City's largest and most diverse neighborhood. Dorchester's demographic diversity has been a well-sustained tradition of the neighborhood, and long-time residents blend with more recent arrivals from Ireland, Vietnam, and Cape Verde. Malibu and Tenean Beaches offer summertime recreation and numerous parks are scattered through the area. Dorchester Avenue, the neighborhood's main artery, is activated by immigrant-owned businesses and connects a number of Dorchester's vibrant business districts. University of Massachussets Boston is a major tenant of the area.",http://www.bostonplans.org/neighborhoods/dorchester/at-a-glance,,"https://en.wikipedia.org/wiki/Dorchester,_Boston",https://en.wikipedia.org/wiki/Walton_and_Roslin_Halls#/media/File:BostonMA_WaltonAndRoslinHalls.jpg,,"https://en.wikipedia.org/wiki/Dorchester,_Boston#/media/File:BostonMA_UphamsCornerMarket.jpg","https://en.wikipedia.org/wiki/Dorchester,_Boston#/media/File:Lower_Mills_MA.jpg"
2215,BOSTON,2,5,27,2277,2527,3068,3848,4139,4762,5484,"Fenway-Kemore is most recognized as the home of Fenway Park and the Red Sox. But, it's also home to cultural institutions like the Museum of Fine Arts and Symphony Hall. You'll also find the nation's first public school, Boston Latin School. There are also several schools for higher education. Students and young professionals love the area for the clubs on Lansdowne Street. Frederick Law Olmsted designed the neighborhood's main green space, the Back Bay Fens. The Fenway surrounds this lush park.",http://www.bostonplans.org/neighborhoods/fenway/at-a-glance,,https://en.wikipedia.org/wiki/Fenway%E2%80%93Kenmore,https://en.wikipedia.org/wiki/Park_Drive_(parkway)#/media/File:Park_Drive_Travel-Parking_Lanes.JPG,https://en.wikipedia.org/wiki/Boston_Arts_Academy#/media/File:Boston_Arts_Academy_Building.jpg,https://en.wikipedia.org/wiki/Fenway%E2%80%93Kenmore#/media/File:Fenway_neighborhood_seen_from_Prudential_Skywalk.jpg,https://en.wikipedia.org/wiki/Fenway%E2%80%93Kenmore#/media/File:Fenway_Park.jpg
2115,BOSTON,2,3,53,1877,2077,2528,3178,3409,3922,4519,"Fenway-Kemore is most recognized as the home of Fenway Park and the Red Sox. But, it's also home to cultural institutions like the Museum of Fine Arts and Symphony Hall. You'll also find the nation's first public school, Boston Latin School. There are also several schools for higher education. Students and young professionals love the area for the clubs on Lansdowne Street. Frederick Law Olmsted designed the neighborhood's main green space, the Back Bay Fens. The Fenway surrounds this lush park.",https://www.boston.gov/neighborhood/fenway-kenmore,,https://en.wikipedia.org/wiki/Fenway%E2%80%93Kenmore,https://en.wikipedia.org/wiki/Park_Drive_(parkway)#/media/File:Park_Drive_Travel-Parking_Lanes.JPG,https://en.wikipedia.org/wiki/Boston_Arts_Academy#/media/File:Boston_Arts_Academy_Building.jpg,https://en.wikipedia.org/wiki/Fenway%E2%80%93Kenmore#/media/File:Fenway_neighborhood_seen_from_Prudential_Skywalk.jpg,https://en.wikipedia.org/wiki/Fenway%E2%80%93Kenmore#/media/File:Fenway_Park.jpg
2111,BOSTON,5,5,24,1877,2077,2528,3178,3409,3922,4519,"Located along the southern edge of Downtown, Boston's Chinatown is a commercial and cultural hub for the City's Chinese community. Today Chinatown's dense mix of shops, restaurants, and housing in historic buildings creates an ever-bustling neighborhood with easy access to Downtown, the Theater District, and Boston's dynamic waterfront. While visitors come from all over to sample Chinatown's range of specialty Asian shops and restaurants, Chinatown is also home to a number of other businesses and organizations, including Tufts Medical Center. South Station serves as a major rail and bus hub for Boston, bringing numerous visitors through the area every day.",http://www.bostonplans.org/neighborhoods/chinatown/at-a-glance,,"https://en.wikipedia.org/wiki/Chinatown,_Boston","https://en.wikipedia.org/wiki/Chinatown,_Boston#/media/File:Paifang_Boston_Chinatown_1.jpg",,"https://en.wikipedia.org/wiki/Chinatown,_Boston#/media/File:Boston_Chinatown_Paifang.jpg",https://en.wikipedia.org/wiki/South_Station_Bus_Terminal#/media/File:Boston_South_Station_bus_terminal.jpg
2446,BROOKLINE,2,1,89,2297,2547,3098,3888,4179,4808,5537,"Located four miles from downtown Boston, in Norfolk County, Brookline is one of the largest towns in New England. It is primarily a mature suburban, residential community with urban characteristics. The Town of Brookline continues to be a safe and highly desirable place to live, due to its proximity to job opportunities, excellent public transportation and school systems, and livable neighborhoods that balance green space, historic preservation, and outstanding commercial services. Surrounded by the City of Boston on three sides, Brookline consists of roughly six square miles of land and is home to a population of about 58,732 people. Brookline is served by the C and D branches of the MBTA's Green Line trains, with inbound service to downtown Boston and outbound service to Newton. The B line runs along the town's northern border of Commonwealth Avenue in Allston.",https://www.brooklinema.gov/1539/About-Brookline,,"https://en.wikipedia.org/wiki/Brookline,_Massachusetts",https://www.google.com/search?as_st=y&hl=en&tbs=isz%3Alt%2Cislt%3Asvga%2Csur%3Afc&tbm=isch&sa=1&ei=uXWeXMzgEome_QboxKTYDQ&q=brookline+ma+boston&oq=brookline+ma+boston&gs_l=img.3...142793.145255..145362...0.0..0.0.0.......1....1..gws-wiz-img.GbwN3iJE0IU#imgrc=HSyyjXN-JdT4CM:,"https://commons.wikimedia.org/wiki/File:Heath_School,_Brookline_MA.jpg","https://commons.wikimedia.org/wiki/File:St._Paul_Street_MBTA_station,_Brookline_MA.jpg","https://commons.wikimedia.org/wiki/File:Brookline_Reservoir,_June_2010,_Brookline_MA.jpg"
